x1	x2
4 	 20
22 	 30
13 	 29
9 	 48
1 	 8
6 	 40
33 	 42
28 	 40
29 	 35
35 	 14
0 	 54
24 	 28
10 	 40
44 	 45
7 	 18
15 	 2
30 	 37
9 	 3
9 	 51
36 	 34
18 	 37
23 	 56
49 	 0
42 	 54
34 	 10
8 	 53
34 	 15
7 	 32
40 	 54
2 	 35
19 	 7
46 	 37
8 	 15
4 	 49
39 	 41
36 	 6
22 	 9
16 	 29
13 	 48
8 	 6
42 	 42
35 	 27
3 	 18
10 	 53
8 	 38
21 	 19
47 	 46
48 	 48
17 	 38
38 	 23
28 	 53
0 	 4
5 	 9
5 	 28
23 	 25
4 	 14
6 	 34
23 	 30
10 	 29
10 	 54
6 	 21
29 	 30
5 	 39
31 	 9
3 	 14
14 	 14
30 	 34
40 	 46
45 	 35
41 	 49
20 	 46
19 	 17
47 	 52
16 	 39
28 	 3
2 	 7
25 	 13
2 	 52
33 	 38
24 	 56
16 	 3
20 	 32
13 	 42
44 	 55
38 	 6
10 	 41
25 	 20
9 	 14
37 	 48
30 	 41
41 	 50
43 	 7
27 	 1
22 	 7
9 	 39
5 	 5
10 	 43
32 	 54
43 	 2
43 	 10
23 	 17
4 	 46
36 	 50
15 	 51
12 	 53
24 	 22
3 	 53
20 	 18
19 	 6
49 	 44
42 	 17
7 	 10
9 	 17
35 	 28
38 	 14
8 	 48
23 	 5
33 	 23
9 	 11
23 	 41
0 	 9
36 	 27
41 	 4
16 	 11
16 	 41
21 	 4
7 	 29
41 	 0
24 	 14
45 	 29
22 	 25
2 	 11
36 	 22
22 	 33
30 	 1
6 	 39
20 	 35
29 	 48
24 	 44
8 	 52
37 	 25
3 	 9
47 	 55
44 	 51
41 	 44
35 	 25
39 	 33
2 	 20
36 	 29
15 	 18
44 	 20
7 	 40
37 	 12
28 	 12
15 	 10
35 	 11
38 	 22
30 	 51
37 	 16
19 	 40
5 	 6
35 	 46
1 	 7
34 	 7
14 	 19
40 	 5
49 	 37
17 	 13
21 	 13
2 	 5
47 	 20
12 	 12
5 	 33
33 	 25
3 	 17
4 	 8
14 	 1
47 	 45
38 	 8
17 	 24
40 	 18
15 	 9
47 	 5
46 	 15
5 	 48
25 	 26
44 	 23
4 	 51
45 	 49
9 	 2
9 	 15
21 	 34
40 	 10
49 	 13
33 	 30
22 	 3
16 	 23
21 	 6
37 	 13
7 	 36
13 	 46
39 	 31
34 	 2
2 	 4
5 	 34
12 	 48
40 	 3
26 	 10
26 	 43
29 	 19
40 	 29
45 	 19
15 	 46
39 	 14
29 	 0
44 	 34
33 	 36
33 	 52
27 	 0
49 	 25
11 	 15
17 	 54
43 	 54
14 	 56
23 	 49
16 	 26
47 	 42
34 	 44
11 	 33
47 	 2
22 	 10
5 	 25
19 	 51
39 	 23
10 	 3
18 	 11
3 	 43
15 	 36
17 	 8
10 	 8
37 	 44
18 	 39
37 	 43
45 	 42
31 	 12
12 	 45
35 	 33
49 	 53
40 	 28
27 	 52
17 	 37
41 	 41
46 	 50
0 	 31
35 	 19
24 	 29
42 	 45
30 	 14
38 	 4
47 	 28
14 	 55
6 	 16
40 	 43
1 	 6
39 	 53
4 	 50
20 	 19
31 	 39
35 	 22
2 	 14
36 	 23
5 	 37
20 	 50
20 	 21
39 	 56
1 	 29
34 	 54
6 	 3
13 	 30
38 	 15
25 	 36
7 	 41
36 	 15
22 	 13
7 	 24
11 	 51
25 	 30
21 	 53
8 	 30
13 	 4
41 	 48
20 	 22
29 	 15
24 	 11
11 	 38
45 	 45
20 	 45
23 	 18
46 	 49
24 	 13
42 	 7
40 	 14
36 	 26
17 	 1
22 	 43
26 	 31
20 	 28
17 	 35
8 	 49
9 	 24
15 	 21
15 	 33
19 	 8
11 	 16
21 	 31
6 	 8
25 	 2
22 	 32
19 	 1
45 	 14
26 	 15
1 	 1
17 	 16
11 	 46
36 	 9
35 	 44
13 	 52
34 	 56
43 	 22
48 	 32
42 	 3
15 	 55
49 	 38
43 	 52
18 	 12
23 	 34
12 	 31
7 	 50
21 	 21
35 	 53
17 	 52
33 	 26
11 	 25
0 	 24
37 	 3
5 	 10
5 	 20
23 	 6
48 	 51
12 	 8
3 	 16
13 	 41
36 	 14
12 	 46
36 	 5
28 	 23
18 	 3
5 	 31
40 	 6
7 	 45
22 	 42
41 	 2
37 	 24
11 	 35
16 	 6
3 	 12
21 	 20
30 	 21
2 	 49
15 	 4
0 	 26
22 	 41
47 	 8
32 	 46
28 	 26
34 	 6
12 	 29
2 	 18
45 	 3
6 	 52
26 	 45
32 	 4
11 	 34
14 	 31
32 	 27
34 	 41
49 	 50
3 	 19
30 	 19
15 	 45
20 	 34
41 	 36
39 	 2
0 	 35
15 	 15
40 	 40
28 	 42
27 	 56
43 	 14
36 	 35
48 	 46
33 	 56
3 	 41
47 	 41
40 	 38
26 	 48
39 	 26
3 	 50
19 	 35
45 	 24
17 	 20
18 	 45
30 	 40
22 	 15
6 	 5
16 	 38
23 	 26
43 	 15
49 	 51
37 	 27
38 	 5
44 	 15
13 	 50
46 	 56
6 	 36
18 	 44
47 	 32
23 	 24
16 	 8
9 	 28
26 	 24
14 	 41
5 	 41
16 	 21
1 	 26
25 	 25
32 	 3
20 	 40
13 	 38
12 	 19
26 	 11
49 	 18
3 	 22
25 	 41
15 	 1
0 	 51
0 	 15
14 	 50
4 	 53
21 	 45
23 	 20
8 	 33
18 	 48
18 	 25
41 	 26
37 	 38
11 	 24
28 	 31
36 	 44
3 	 15
23 	 46
9 	 34
28 	 17
35 	 13
49 	 34
28 	 28
40 	 20
47 	 44
29 	 44
21 	 15
31 	 23
15 	 48
16 	 33
40 	 35
43 	 23
22 	 36
1 	 48
28 	 38
4 	 56
6 	 49
10 	 52
23 	 15
43 	 27
29 	 45
49 	 23
28 	 5
42 	 47
3 	 24
2 	 21
4 	 0
14 	 54
27 	 51
38 	 41
47 	 34
38 	 12
3 	 32
32 	 28
36 	 42
15 	 27
13 	 34
34 	 52
25 	 19
16 	 16
39 	 25
45 	 56
31 	 2
44 	 10
22 	 8
8 	 46
41 	 10
30 	 9
22 	 56
47 	 36
23 	 28
24 	 51
26 	 14
37 	 32
16 	 0
45 	 40
18 	 6
40 	 24
3 	 49
24 	 42
44 	 40
21 	 49
48 	 38
18 	 1
15 	 5
29 	 40
12 	 28
18 	 55
24 	 15
23 	 23
29 	 9
35 	 0
0 	 52
43 	 9
11 	 27
45 	 54
25 	 47
11 	 7
34 	 42
3 	 56
1 	 44
17 	 7
35 	 45
33 	 17
46 	 34
11 	 56
32 	 39
34 	 49
5 	 19
7 	 12
20 	 3
47 	 37
37 	 6
39 	 12
29 	 53
25 	 9
8 	 25
44 	 26
13 	 15
26 	 40
11 	 22
27 	 21
41 	 37
27 	 20
45 	 32
0 	 39
28 	 43
25 	 34
16 	 19
9 	 37
33 	 7
16 	 7
40 	 13
42 	 26
15 	 24
5 	 35
49 	 15
33 	 8
46 	 13
35 	 29
1 	 17
16 	 53
7 	 0
16 	 32
40 	 53
42 	 19
34 	 12
49 	 7
17 	 33
16 	 24
13 	 17
17 	 9
42 	 12
21 	 38
28 	 37
3 	 52
39 	 55
27 	 6
29 	 43
3 	 47
13 	 8
11 	 17
19 	 43
5 	 16
16 	 50
27 	 22
29 	 39
20 	 24
4 	 54
22 	 5
19 	 11
6 	 
